"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 28 13:05:26 GMT 2023","Thu Dec 28 13:05:26 GMT 2023","3","Surefire suite","Surefire test","com.example.testng.StepTest","com.example.testng.StepTest","lambdaStepTest","lambdaStepTest",""
"passed","Thu Dec 28 13:05:26 GMT 2023","Thu Dec 28 13:05:26 GMT 2023","27","Surefire suite","Surefire test","com.example.testng.StepTest","com.example.testng.StepTest","annotatedStepTest","annotatedStepTest",""
